Have you noticed bias against women?,,,,Do you think bias against women is an important issue?,Rate on scale 1-10 on importance of bias against women,Before presentation: how likely were you to recognize and react to bias against women?,After�presentation: how likely were you to recognize and react to bias against women?,Are you willing to share your experiences at TAMU?,Preferred Method of sharing,Gender,Ethnicity,What slogan/hashtag would you suggest to combat bias at TAMU?,Comments
Anywhere,At TAMU,In College of Engineering,In ENGR 111/112,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,Open-Ended Response
Never,Never,Never,Never,No,,Never,Never,No,,Male,Caucasian,,
Sometimes,Rarely,Rarely,Rarely,Yes,8,Often,Often,Yes,Schedule meeting with Shawna,Female,Asian,,
Sometimes,Sometimes,Rarely,Rarely,Yes,8,Sometimes,Often,,Schedule meeting with Shawna,Female,Caucasian,,
Rarely,Never,Never,Never,Yes,4,Rarely,Sometimes,No,,Male,Hispanic,,
Rarely,Never,Rarely,Never,Yes,2,Rarely,Sometimes,No,,Female,,,
Rarely,Never,Never,Never,Yes,2,Rarely,Sometimes,No,,Female,,,
Never,Never,Never,Never,No,,Never,Rarely,No,,,Caucasian,,
Sometimes,Never,Never,Never,Yes,5,Sometimes,Sometimes,No,,,,,
Sometimes,Never,Never,Never,Yes,10,Sometimes,Often,No,Join MAGNETS,Male,Hispanic,,
Sometimes,Rarely,Rarely,Rarely,Yes,8,Sometimes,Often,,Email Shawna,Female,,,
Rarely,Rarely,Never,Never,Yes,7,Rarely,Sometimes,No,,Male,Caucasian,,
Sometimes,Rarely,Sometimes,Rarely,Yes,3,Rarely,Often,No,,Female,Hispanic,,
Sometimes,Sometimes,Rarely,Never,,,Never,Never,No,,,,,
Sometimes,Rarely,Sometimes,Sometimes,Yes,8,Sometimes,Sometimes,No,,Female,,,
Often,Sometimes,Sometimes,Sometimes,Yes,9,Often,Often,Yes,Social media,Female,Caucasian,,
Sometimes,Rarely,Rarely,Rarely,Yes,6,Sometimes,Sometimes,No,,Male,Asian,,
Rarely,Never,Never,Never,Yes,6,Rarely,Sometimes,Yes,Email Shawna,Male,Asian,,
Never,Never,Never,Never,No,,Never,Never,No,,,,,
Sometimes,Never,Rarely,Never,Yes,7,Rarely,Often,No,,Male,Asian,,
Rarely,Rarely,Rarely,Never,Yes,4,Rarely,Sometimes,Yes,Email Shawna,Male,Caucasian,,
Sometimes,Rarely,Rarely,Never,Yes,5,Rarely,Often,No,,Male,Asian,,
Sometimes,Rarely,Rarely,Rarely,Yes,10,Rarely,Sometimes,Yes,Email Shawna,Female,,,
Rarely,Never,Never,Never,,,Rarely,Sometimes,,,Male,Hispanic,,
Never,Never,Never,Never,Yes,5,Rarely,Sometimes,Yes,Email Shawna,Female,Caucasian,,
Sometimes,Sometimes,Rarely,Rarely,Yes,6,Rarely,Sometimes,No,,Male,Caucasian,,
Rarely,Never,Never,Never,Yes,6,Rarely,Sometimes,No,,Male,Caucasian,,
Sometimes,Sometimes,Rarely,Never,Yes,7,Sometimes,Sometimes,No,,Female,Caucasian,,
Sometimes,Sometimes,Rarely,Rarely,Yes,1,Sometimes,Sometimes,No,,Female,Caucasian,,
Sometimes,Sometimes,Sometimes,Sometimes,Yes,7,Sometimes,,No,,Male,Asian,,
Sometimes,Sometimes,Sometimes,Rarely,Yes,7,Rarely,Often,Yes,Social media,Male,Black,,
Sometimes,Rarely,Rarely,Never,No,2,Never,Never,No,,Female,Caucasian,,
Often,Sometimes,Sometimes,Rarely,Yes,7,Often,Often,No,,Female,Caucasian,,
Rarely,Never,Never,Never,No,,Rarely,Never,No,,Male,,,
Rarely,Never,Never,Never,Yes,5,Rarely,Sometimes,No,,Male,Caucasian,,
Rarely,Never,Never,Never,No,,Rarely,Rarely,No,,Male,Hispanic,,
Rarely,Never,Never,Never,Yes,5,Rarely,Rarely,No,,Male,Caucasian,,
Sometimes,Rarely,Never,Never,Yes,6,Sometimes,Sometimes,Yes,Schedule meeting with Shawna,,,,first three preferred methods
Rarely,Never,Never,Never,No,,Sometimes,Sometimes,Yes,Email Shawna,,,#weTheEngineers,
Sometimes,Rarely,Never,Never,Yes,8,Sometimes,Sometimes,No,,Male,Caucasian,,
Rarely,Never,Never,Never,Yes,2,Rarely,Sometimes,Yes,Email Shawna,Male,Caucasian,,
Sometimes,Rarely,Rarely,Rarely,Yes,4,Rarely,Sometimes,Yes,Email Shawna,Male,Caucasian,,
Often,Often,Sometimes,Rarely,Yes,10,Often,Often,Yes,Schedule meeting with Shawna,Female,Hispanic,,
Often,Sometimes,Often,Sometimes,Yes,8,Often,Often,Yes,Email Shawna,Female,Caucasian,,
Sometimes,Sometimes,Often,Sometimes,Yes,9,Often,Often,,,Female,Caucasian,,
Sometimes,Sometimes,Sometimes,Rarely,Yes,10,Often,Often,Yes,Email Shawna,Female,Caucasian,,
